type,properties/@id,properties/name,properties/tourism,properties/wheelchair,properties/wikidata,geometry/type,geometry/coordinates/0,geometry/coordinates/1,id,properties/addr:city,properties/addr:housenumber,properties/addr:postcode,properties/addr:province,properties/addr:street,properties/amenity,properties/cuisine,properties/opening_hours,properties/phone,properties/source,properties/addr:unit,properties/check_date,properties/email,properties/website,properties/brand,properties/brand:wikidata,properties/brand:wikipedia,properties/diet:gluten_free,properties/operator,properties/payment:mastercard,properties/payment:visa,properties/drive_through,properties/takeaway,properties/official_name,properties/name:zh,properties/addr:country,properties/website:en,properties/website:fr,properties/url,properties/toilets:wheelchair,properties/created_by,properties/payment:credit_cards,properties/payment:debit_cards,properties/name:en,properties/name:zh-Hans,properties/indoor_seating,properties/outdoor_seating,properties/level,properties/level:ref,properties/note,properties/branch,properties/contact:facebook,properties/delivery,properties/smoking,properties/internet_access,properties/old_name,properties/internet_access:fee,properties/leisure,properties/start_date,properties/website:menu,properties/check_date:currency:XBT,properties/check_date:internet_access,properties/capacity,properties/layer,properties/short_name,properties/reservation,properties/fax,properties/toilets,properties/rice_noodle,properties/alt_name,properties/wheelchair:description,properties/contact:instagram,properties/diet:vegan,properties/delivery:partner,properties/payment:interac,properties/contact:yelp,properties/not:brand:wikidata,properties/check_date:opening_hours,properties/air_conditioning,properties/diet:vegetarian,properties/long_name,properties/diet:meat,properties/payment:cash,properties/payment:e-transfer,properties/self_service,properties/contact:youtube,properties/diet:halal,properties/wifi,properties/stars,properties/attraction,properties/species,properties/brand:en,properties/brand:zh,properties/contact:twitter,properties/internet_access:ssid,properties/source:name,properties/description,properties/shop,properties/diet:seafood,properties/name:cs,properties/name:fr,properties/changing_table,properties/name:ja,properties/diet:keto,properties/facebook,properties/payment:cards,properties/breakfast,properties/payment:american_express,properties/craft,properties/int_name,properties/payment:contactless,properties/species:wikidata,properties/species:wikipedia,properties/rooms,properties/building:levels,properties/twitter,properties/microbrewery,properties/min_age,properties/opening_hours:kitchen,properties/contact:website,properties/lunch,properties/diet:lactose_free,properties/bar,properties/opening_date,properties/addr:county,properties/opening_hours:covid19,properties/all_you_can_eat,properties/toilets:menstrual_products,properties/name:zh-Hant,properties/theme,properties/payment:discover_card,properties/was:contact:google_plus,properties/contact:spotify,properties/contact:tiktok,properties/phone:mnemonic,properties/payment:app,properties/payment:neo,properties/was:website,properties/name:ko,properties/payment:apple_pay,properties/payment:diners_club,properties/payment:jcb,properties/payment:square_wallet,properties/payment:unionpay,properties/diet:pescetarian,properties/sport,properties/cafe,properties/diet:dairy_free,properties/toilets:access,properties/language:en,properties/language:vi,properties/live_music,properties/phone:signed,properties/source:phone,properties/strapline,properties/language:am,properties/old_name:--2017,properties/old_name:2018--2023,properties/diet:mediterranean,properties/highchair,properties/organic,properties/opening_hours:signed,properties/instagram,properties/brewery,properties/toilets:position,properties/drink:coffee,properties/drink:espresso,properties/drink:tea,properties/addr:floor,properties/diet:healthy,properties/diet:local,properties/diet:organic
Feature,node/291960926,Great Taste Chinese,,,,Point,-114.053781,51.1110728,node/291960926,Calgary,594,T2K 6H9,,Hunterhorn Road NE,restaurant,chinese,"10:00-14:30,16:30-21:30",+1-403-275-6577,,,,,http://greattastecalgary.com/,,,,,,,,,,,郑家庄海鲜酒家,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/294093060,Big T's BBQ & Smokehouse,,,,Point,-114.1170008,51.0707589,node/294093060,Calgary,2138,T2M 3Y7,AB,Crowchild Trail NW,restaurant,barbecue,Mo-Th 11:00-22:00; Fr 11:00-23:00; Sa 10:00-23:00; Su 10:00-22:00,+1 403-284-5959,,,2025-08-13,,https://bigtsbbq.com/menu/mcmahon/,,,,,,,,,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/296312875,Cora's,,,,Point,-113.9703981,50.932915,node/296312875,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/296312881,The Keg,,,,Point,-113.968811,50.9324179,node/296312881,,,,,,restaurant,steak_house,,,,,,,https://thekeg.com/en/locations/south-pointe,The Keg,Q7744066,en:The Keg,,,,,,,,,,https://thekeg.com/en/locations/south-pointe,https://thekeg.com/fr/restaurants/south-pointe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/296312912,Deerfoot Inn & Casino,hotel,,Q111231349,Point,-113.9826231,50.9492894,node/296312912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/296984912,Boston Pizza,,,,Point,-114.0672589,51.1544353,node/296984912,,,,,,restaurant,pizza,,,,,,,,Boston Pizza,Q894578,en:Boston Pizza,,,,,,,,,,,,http://www.bostonpizza.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/296985075,Ginger Beef Bistro House,,yes,,Point,-114.0679739,51.1550901,node/296985075,,,,,,restaurant,chinese,,,,,,,http://www.gingerbeef.ca,,,,,,,,,,,,,,,http://www.newdynastycalgary.ca,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/297057296,Sun's BBQ Restaurant,,,,Point,-114.062862,51.0649572,node/297057296,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/297064468,Central Grand Restaurant,,,,Point,-114.0640248,51.0665799,node/297064468,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,Potlatch 0.10b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/298073806,Fusion Sushi & Thai,,,,Point,-114.1983988,51.123358,node/298073806,Calgary,1829,T3G 2A7,Alberta,Ranchlands Boulevard NW,restaurant,asian,Su-Th 11:00-21:15; Fr-Sa 11:00-22:15,+1 403-475-6225,,159,2025-07-14,fusionsushiranchlands@gmail.com,https://fusionsushiranchlands.com/,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/298502199,The Station Pub,,,,Point,-114.0136778,50.9764348,node/298502199,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,Riverbend Station Pub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/298502205,Tim Hortons,,,,Point,-114.0151013,50.9774509,node/298502205,,,,,,cafe,coffee_shop,,,,,,,,Tim Hortons,Q175106,en:Tim Hortons,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/298502208,Saigon Maxim,,,,Point,-114.0133646,50.9775802,node/298502208,,,,,,restaurant,vietnamese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/300621739,Denny's,,,,Point,-114.054518,51.0968271,node/300621739,,,,,,restaurant,american,,,,,,,,Denny's,Q1189695,en:Denny's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/300626099,Seattle's Best,,,,Point,-114.0675972,51.1559381,node/300626099,,,,,,cafe,,,,,,,,,,,,,,,,,,,,,,,,,Potlatch 0.10c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/300626463,Applebee's,,,,Point,-114.0668608,51.1541516,node/300626463,,,,,,restaurant,american,,,,,,,,Applebee's Neighborhood Grill & Bar,Q621532,en:Applebee's,,,,,,,Applebee's Neighborhood Grill & Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/300633242,Boston Pizza,,,,Point,-113.9930212,51.048895,node/300633242,,,,,,restaurant,pizza,,,,,,,,Boston Pizza,Q894578,en:Boston Pizza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/300782724,Tim Hortons,,,,Point,-114.068355,51.1416459,node/300782724,,,,,,cafe,coffee_shop,,,,,,,https://www.timhortons.ca/,Tim Hortons,Q175106,en:Tim Hortons,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/300782744,The Canadian Brewhouse (Calgary Harvest Hills),,,,Point,-114.070315,51.1405086,node/300782744,Calgary,9650,T3K 0B3,AB,Harvest Hills Boulevard N,restaurant,,,+1-403-452-5636,,1200,,,http://www.thecanadianbrewhouse.com/,,,,,,,,,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/300782749,Bowls Korean BBQ,,,,Point,-114.070057,51.1410067,node/300782749,Calgary,9650,T3K 0B3,Alberta,Harvest Hills Boulevard N,restaurant,asian;korean,,,,1301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/300782750,T.Pot China Bistro,,,,Point,-114.0695085,51.1414773,node/300782750,Calgary,9650,T3K 0B3,Alberta,Harvest Hills Boulevard N,restaurant,chinese;dim_sum,,+1-403-532-3982,,,,,,,,,,,,,,,,,,,,,,,,,,大户人家,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/301286073,Thai Boat,,,,Point,-114.0057199,51.0810032,node/301286073,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,Potlatch 0.10c,,,,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/301286116,Buffet Eastern Treasures,,,,Point,-113.9934754,51.0811604,node/301286116,,,,,,restaurant,chinese,,,,,,,http://www.easterntreasures.ca/buffet.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/301299595,Coffee Company,,,,Point,-114.1315712,51.0783815,node/301299595,,,,,,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,Closes 20:00 on Wed (extrapolate to weekdays?),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/301299600,Tim Hortons,,,,Point,-114.1311202,51.0783353,node/301299600,,,,,,cafe,coffee_shop,Mo-Th 07:00-19:00; Fr 07:00-15:00; Sa 08:00-14:00; Su off; PH off,,,,,,,Tim Hortons,Q175106,en:Tim Hortons,,,,,no,yes,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/301299604,Good Earth Cafe,,yes,,Point,-114.130393,51.0801657,node/301299604,,856,,,Campus Drive NW,cafe,coffee_shop,"Mo-Fr 07:30-17:00; Sa-Su,PH closed",+1 403 289 8487,,131,2025-02-04,,https://goodearthcoffeehouse.com/location/university-of-calgary-ict-bldg/,Good Earth,,,,,,,no,,,,,,,,,,,,,,,no,0,,,ICT,https://www.facebook.com/gecuofc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/301316360,Pizza Hut,,,,Point,-114.105381,51.1548172,node/301316360,,,,,,restaurant,pizza,,,,,,,,Pizza Hut,Q191615,en:Pizza Hut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/302740432,Bootleggers,,,,Point,-113.9859567,51.0818025,node/302740432,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,Potlatch 0.10d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/302751674,Starbucks,,,,Point,-114.0714374,51.1485239,node/302751674,,,,,,cafe,coffee_shop,,,,,,,,Starbucks,Q37158,en:Starbucks,,,,,,yes,Starbucks Coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/304845761,Coco,,,,Point,-114.010235,51.0819525,node/304845761,,,,,,cafe,bubble_tea,,,,,,,,CoCo,Q65084369,en:CoCo Fresh Tea & Juice,,,,,,yes,,,,,,,,,,,,,,,,,,Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/304845802,Henry's Cafe,,,,Point,-114.0120292,51.0793859,node/304845802,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,Potlatch 0.10e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
