type,properties/@id,properties/addr:city,properties/addr:country,properties/addr:postcode,properties/addr:street,properties/addr:suburb,properties/amenity,properties/brand,properties/brand:wikidata,properties/brand:wikipedia,properties/cuisine,properties/internet_access,properties/name,properties/opening_hours,properties/operator,properties/outdoor_seating,properties/phone,properties/website,properties/wheelchair,geometry/type,geometry/coordinates/0,geometry/coordinates/1,id,properties/fhrs:id,properties/smoking,properties/addr:housenumber,properties/check_date,properties/indoor_seating,properties/addr:housename,properties/email,properties/source:addr,properties/tourism,properties/diet:gluten_free,properties/diet:vegan,properties/diet:vegetarian,properties/disused:amenity,properties/old_name,properties/payment:cash,properties/bar,properties/air_conditioning,properties/check_date:opening_hours,properties/level,properties/payment:contactless,properties/payment:credit_cards,properties/payment:debit_cards,properties/payment:mastercard,properties/payment:visa,properties/ref,properties/takeaway,properties/official_name,properties/branch,properties/contact:facebook,properties/contact:instagram,properties/contact:twitter,properties/wikidata,properties/wikipedia,properties/capacity,properties/drive_in,properties/addr:floor,properties/description,properties/internet_access:fee,properties/microbrewery,properties/organic,properties/food,properties/source,properties/addr:unit,properties/opening_hours:signed,properties/ref:vatin,properties/real_ale,properties/shop,properties/historic,properties/memorial,properties/religion,properties/subject:wikidata,properties/subject:wikipedia,properties/wikimedia_commons,properties/addr:state,properties/payment:cards,properties/toilets,properties/source:name,properties/toilets:unisex,properties/reservation,properties/not:addr:postcode,properties/check_date:diet:vegetarian,properties/alt_name,properties/fhrs:local_authority_id,properties/layer,properties/note,properties/addr:parentstreet,properties/fixme,properties/ele,properties/source:addr:postcode,properties/contact:phone,properties/name:en,properties/name:zh-Hans,properties/baby,properties/drive_through,properties/changing_table,properties/toilets:wheelchair,properties/internet_access:ssid,properties/contact:email,properties/contact:website,properties/highchair,properties/wheelchair:description,properties/addr:place,properties/payment:american_express,properties/payment:visa_debit,properties/not:fhrs:addr:postcode,properties/delivery,properties/brand:en,properties/brand:zh,properties/name:zh,properties/breakfast,properties/internet_access:operator,properties/url,properties/amenity:restaurant,properties/fhrs:rating,properties/closed,properties/rooms,properties/contact:city,properties/contact:country,properties/contact:housenumber,properties/contact:postcode,properties/contact:street,properties/short_name,properties/old_amenity,properties/artwork_type,properties/self_service,properties/old_fhrs:id,properties/changing_table:fee,properties/kids_area:indoor,properties/toilets:access,properties/payment:discover_card,properties/changing_table:location,properties/stars,properties/payment:diners_club,properties/diet:halal,properties/drinking_water:refill,properties/drinking_water:refill:network,properties/name:th,properties/website:menu,properties/start_date,properties/diet:jain_vegetarian,properties/ref:vcgi:esiteid,properties/diet:meat,properties/pets_allowed,properties/building,properties/dinner,properties/lunch,properties/website:orders,properties/check_date:diet:vegan,properties/indoor,properties/dog,properties/diet:non-vegetarian,properties/live_music,properties/construction,properties/check_date:diet:gluten_free,properties/opening_hours:url,properties/kids_area,properties/kids_area:fee,properties/kids_area:outdoor,properties/kids_area:supervised,properties/payment:coins,properties/entrance,properties/survey:date,properties/cafe,properties/nohousenumber,properties/fee,properties/street_vendor,properties/fast_food,properties/not:brand:wikidata,properties/brewery,properties/toilets:menstrual_products,properties/payment:maestro,properties/payment:goldback
Feature,node/269079576,,,,,,,,,,,,Holly House Hotel,,,,,,,Point,-2.2399336,53.4228241,node/269079576,,,,,,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/269256546,Manchester,,M11 4EA,Ashton New Road,,restaurant,,,,,,Spicy Mango,,,,,,,Point,-2.1877664,53.4834043,node/269256546,1816555,,575A,,,,,,,,,,pub,Derby Arms,only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/269272691,,,,,,restaurant,,,,chinese,,Live Seafood Ltd,Mo-Su 10:00-20:00,,,,,,Point,-2.2089251,53.4750481,node/269272691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/290535461,,,,,,,,,,,,Alconbury Flashes,,,,,,,Point,-2.2302807,53.5371419,node/290535461,,,,,,,,,attraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/292160256,,,,,,restaurant,Beefeater,Q4879766,,,,The Heaton Park,,,,,https://www.beefeater.co.uk/en-gb/locations/lancashire/heaton-park,,Point,-2.2456263,53.5297663,node/292160256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/298658952,,,,,,,,,,,,Dickenson Hotel,,,,,,,Point,-2.2036703,53.4556862,node/298658952,,,,,,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/307520138,,,,,,restaurant,,,,,,Eastern Pearl,,,,,,,Point,-2.2104472,53.4604508,node/307520138,,,,2025-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/307753159,,,,,,restaurant,,,,chinese,,Glamorous Chinese Restaurant,,,,,,,Point,-2.22849,53.4869787,node/307753159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/308128519,Manchester,GB,M1 1LZ,Piccadilly,,,Malmaison,Q6744343,,,,Malmaison,,,,,,yes,Point,-2.2332353,53.4791781,node/308128519,,,1-3,2025-08-05,,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/308523111,,,,,,,,,,,,The Parklands Residential Hotel,,,,,,,Point,-2.2183302,53.495237,node/308523111,,,,,,,,,hotel,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/308849933,Manchester,GB,M1 6DN,Portland Street,,restaurant,,,,chinese,,Buffet City,,,no,,,,Point,-2.2407899,53.4769808,node/308849933,730781,,111,,yes,,,FHRS Open Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/309204581,,,,,,restaurant,,,,punjabi,,East Z East,,,,,,,Point,-2.236901,53.4740832,node/309204581,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/309354684,,,,,,cafe,,,,,,K's Cafe,,,,,,,Point,-2.1814106,53.4735618,node/309354684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/309451648,Manchester,GB,M1 4GX,Portland Street,,,Ibis,Q920166,,,,Ibis Hotel Manchester City Centre,,,,,,,Point,-2.2406635,53.4773839,node/309451648,1818984,,96,,,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/324660927,Manchester,,M3 3NW,Deansgate,,restaurant,,,,turkish;burger;pizza;kebab,,Topkapi Palace,,,yes,,,,Point,-2.2491324,53.4787806,node/324660927,1818931,,205,,yes,Onward Buildings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/324661012,Manchester,GB,M3 3WR,Deansgate,,cafe,Caffè Nero,Q675808,en:Caffè Nero,coffee_shop,wlan,Caffè Nero,Mo-Fr 06:30-18:30; Sa 07:30-18:30; Su 08:00-18:00,,,+44 161 833 0844,https://www.caffenero.com/uk/stores/manchester-spinningfields,,Point,-2.2486947,53.4794691,node/324661012,,,133,2024-08-22,,St Johns House,,,,,,,,,,,,2024-08-22,0,yes,yes,yes,yes,yes,224,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/324661296,Manchester,,M3 3WR,Deansgate,,cafe,Starbucks,Q37158,en:Starbucks,coffee_shop,,Starbucks,,,,,https://www.starbucks.com/store-locator/store/2433/manchester-deansgate-129-deansgate-unit-2-manchester-eng-m-3-3-wr-gb,yes,Point,-2.2481949,53.479748,node/324661296,1819919,,129,,,,,,,,,,,,,,,,,,,,,,,yes,Starbucks Coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/324663550,Manchester,,M3 2BQ,Deansgate,,restaurant,,,,spanish,,La Vina,,,,,,,Point,-2.2476813,53.4810356,node/324663550,,,105-107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/324665188,Manchester,,M3 2BW,Deansgate,,cafe,Caffè Nero,Q675808,en:Caffè Nero,coffee_shop,,Caffè Nero,Mo-Fr 06:30-19:30; Sa 07:30-19:30; Su 08:00-18:30,,,,https://www.caffenero.com/uk/stores/manchester-st-anns-square,,Point,-2.2467245,53.4824448,node/324665188,,,67,2024-08-22,,,,,,,,,,,,,,2024-08-22,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/324670166,Manchester,,M3 2FE,Deansgate,,restaurant,Cosmo,Q5174239,en:Cosmo (restaurant),international,,Cosmo,,,,,,,Point,-2.2465922,53.4833586,node/324670166,1818786,,48,,,,,,,,,,,,,,,,,,,,,,,,,World Buffet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/324673692,Manchester,,M3 2ER,Deansgate,,restaurant,Las Iguanas,Q19875012,,latin_american,,Las Iguanas,,,,,https://www.iguanas.co.uk/restaurants/manchester-deansgate/,,Point,-2.2471348,53.4824695,node/324673692,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/324690893,Manchester,GB,M3 3ND,Deansgate,,cafe,,,,coffee_shop,,Federal Cafe Bar,,,no,,,,Point,-2.2495294,53.4786625,node/324690893,1820594,,194,2024-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/324691503,Manchester,,M3 3NN,Deansgate,,restaurant,Flat Iron,Q110680166,,steak_house,,Flat Iron Manchester,We-Th 12:00-22:30; Fr-Sa 12:00-23:00; Su-Tu 12:00-22:00,,,,https://flatironsteak.co.uk/restaurant/manchester,,Point,-2.249691,53.4784534,node/324691503,1821659,,200-204,,,,,,,,,,,,,,,,,,,,,,,,,Manchester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/324692418,Manchester,,,Quay Street,,cafe,Starbucks,Q37158,en:Starbucks,coffee_shop,,Starbucks,,,,,https://www.starbucks.com/store-locator/store/2765/manchester-quay-st-quay-street-manchester-eng-m-3-3-hn-gb,,Point,-2.2502174,53.4782552,node/324692418,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Starbucks Coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/324696113,Manchester,GB,M3 4LQ,Deansgate,,,Hilton,Q598884,en:Hilton Hotels & Resorts,,,Hilton Manchester Deansgate,,Hilton Hotels,,+44 161 870 1600,https://www.hilton.com/en/hotels/mandghi-hilton-manchester-deansgate/?WT.mc_id=zELWAKN0EMEA1HI2DMH3LocalSearch4DGGenericx6MANDGHI,yes,Point,-2.2504623,53.4755262,node/324696113,1819822,isolated,303,,,Beetham Tower,mandg_frontoffice@hilton.com,,hotel,,,,,,,,,,,,,,,,,,,,https://www.facebook.com/hiltondeansgate,https://instagram.com/hiltonmanchester/,https://twitter.com/HiltonMCR,Q19513101,en:Hilton Manchester Deansgate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/331414729,Manchester,GB,M2 5WA,Lloyd Street,,restaurant,,,,barbecue,,Red's True Barbecue,,,no,,https://truebarbecue.com/,yes,Point,-2.2463227,53.4789629,node/331414729,,no,18-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/331485776,Manchester,,M2 5EB,Brazennose Street,,cafe,,,,,,Shirley's Sandwiches,,,,,,,Point,-2.2461374,53.4795868,node/331485776,1820819,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/331488417,Manchester,,M3 3HF,Hardman Street,,restaurant,Nando's,Q3472954,en:Nando's,chicken;portuguese,,Nando's,,,,,https://www.nandos.co.uk/restaurants/manchester-spinningfields,,Point,-2.2501179,53.4791775,node/331488417,1820893,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/334641790,,,,,,cafe,,,,,,Cafe at the Rylands,,,,,,yes,Point,-2.2495925,53.480371,node/334641790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/334646148,,,,,,cafe,,,,,,La Piazza Sandwich Bar,,,,,,,Point,-2.2502961,53.4785424,node/334646148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/346976936,Manchester,GB,,Peter Street,,restaurant,PizzaExpress,Q662845,en:PizzaExpress,pizza,,PizzaExpress,,,,,,,Point,-2.2460967,53.4777114,node/346976936,,,56,2009-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
