type,properties/@id,properties/name,properties/tourism,geometry/type,geometry/coordinates/0,geometry/coordinates/1,id,properties/created_by,properties/addr:city,properties/addr:housenumber,properties/addr:postcode,properties/addr:state,properties/addr:street,properties/amenity,properties/brand,properties/brand:wikidata,properties/cuisine,properties/official_name,properties/addr:suburb,properties/addr:unit,properties/contact:facebook,properties/contact:instagram,properties/delivery,properties/level,properties/opening_hours,properties/phone,properties/takeaway,properties/website,properties/branch,properties/ref,properties/attraction,properties/is_in:theme_park,properties/species:wikipedia,properties/species:wikidata,properties/bar,properties/check_date,properties/internet_access,properties/name:es,properties/outdoor_seating,properties/payment:cash,properties/payment:credit_cards,properties/payment:debit_cards,properties/reservation,properties/toilets,properties/toilets:wheelchair,properties/wheelchair,properties/wikidata,properties/wikipedia,properties/addr:housename,properties/addr:country,properties/source,properties/source:date,properties/internet_access:fee,properties/alt_name,properties/drink:alcohol,properties/note,properties/smoking,properties/diet:meat,properties/payment:bitcoincash,properties/brand:wikipedia,properties/contact:phone,properties/contact:website,properties/description,properties/capacity,properties/email,properties/name:fr,properties/name:en,properties/disused:amenity,properties/shop,properties/diet:vegan,properties/diet:vegetarian,properties/ref:miaaddr,properties/name:de,properties/currency:XBT,properties/payment:lightning,properties/payment:lightning_contactless,properties/payment:onchain,properties/survey:date,properties/air_conditioning,properties/payment:american_express,properties/payment:diners_club,properties/payment:discover_card,properties/payment:mastercard,properties/payment:visa,properties/indoor_seating,properties/opening_hours:covid19,properties/wikimedia_commons,properties/contact:twitter,properties/image,properties/loc_name,properties/website:menu,properties/diet:healthy,properties/self_service,properties/brewery,properties/pub,properties/short_name,properties/rooms,properties/old_name,properties/phone:mnemonic,properties/diet:non-vegetarian,properties/payment:contactless,properties/diet:beef,properties/diet:pork,properties/diet:seafood,properties/diet:chicken,properties/payment:bank_card,properties/contact:tripadvisor,properties/contact:yelp,properties/diet:gluten_free,properties/facebook,properties/instagram,properties/mobile,properties/parking,properties/panoramax,properties/check_date:currency:XBT,properties/payment:lightning:operator,properties/contact:tiktok,properties/language:en,properties/language:es,properties/payment:apple_pay,properties/payment:gift_card,properties/payment:google_pay,properties/payment:paypal,properties/payment:samsung_pay,properties/start_date
Feature,node/1025645943,Pizza Hut,,Point,-80.1891523,25.7733596,node/1025645943,,,,,,,restaurant,Pizza Hut,Q191615,pizza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1025646223,Iron Sushi,,Point,-80.1891738,25.7732304,node/1025646223,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1025649433,Tre Italian Bistro,,Point,-80.1890611,25.7741905,node/1025649433,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1025659681,Camila's Restaurante Brasileiro,,Point,-80.1916754,25.7727393,node/1025659681,,,129,33131,,Southeast 1st Avenue,restaurant,,,brazilian,,,,,,,,,+1 305-375-0992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1025684469,Sushi Sake,,Point,-80.1986243,25.7665364,node/1025684469,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1025685386,Chick'n Grill,,Point,-80.1985867,25.7660147,node/1025685386,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1327328960,Lemur Encounter,attraction,Point,-80.174973,25.7865085,node/1327328960,,,,,,,,,,,,,,,,,,,,,,,,animal,Jungle Island,en:Liger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1327329025,Gigant Tortoise,attraction,Point,-80.174047,25.7856261,node/1327329025,,,,,,,,,,,,,,,,,,,,,,,,animal,,,Q27885022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1327333405,Primates,attraction,Point,-80.1747762,25.7867974,node/1327333405,,,,,,,,,,,,,,,,,,,,,,,,animal,Jungle Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1327333408,Flamingo Encounter,attraction,Point,-80.1743203,25.786732,node/1327333408,,,,,,,,,,,,,,,,,,,,,,,,animal,Jungle Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1576341770,Versailles Restaurant,,Point,-80.2527677,25.7649886,node/1576341770,,Miami,3555,33135,FL,Southwest 8th Street,restaurant,,,cuban;latin_american;sandwich,,,,VersaillesMiami,,,,,-988,yes,https://www.versaillesrestaurant.com/location,,,,,,,no,21-02-2024,wlan,Restaurante Versailles,yes,yes,yes,yes,no,yes,yes,yes,Q7922622,en:Versailles (restaurant),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1670843023,3 Chefs Chinese & Vietnamese Food,,Point,-80.1891917,25.7938833,node/1670843023,,,1800,33132,,Biscayne Boulevard,restaurant,,,chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,1800 Biscayne Plaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1676975439,La Provence French Bakery,,Point,-80.1893186,25.7990127,node/1676975439,,,,,,,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1707834630,Hooters,,Point,-80.1863219,25.7784559,node/1707834630,,,,,,,restaurant,Hooters,Q1025921,burger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1759352296,Deli City,,Point,4.5816627,51.98014,node/1759352296,,Rotterdam,708,3059XT,,Siciliëboulevard,restaurant,,,chinese,,,,,,,,,+31 10 222 3404,,,,,,,,,,,,,,,,,,,,,,,,NL,BAG,24-03-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1759352297,L'Italiano,,Point,4.5816708,51.9802093,node/1759352297,,Rotterdam,706,3059XT,,Siciliëboulevard,restaurant,,,italian,,,,,,,,We-Su 17:00-22:00,+31 10 455 0109,,,,,,,,,,,,,,,,,,,,,,,,NL,BAG,24-03-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1813316250,Bubba Gump Shrimp Company,,Point,-80.1870173,25.7783245,node/1813316250,,,,,,,restaurant,Bubba Gump Shrimp Company,Q50024,seafood,,,,,,,,,,,,,,,,,,,,wlan,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2001778613,La Bottega,,Point,-80.1866129,25.7942149,node/2001778613,,Miami,1800,33132,,North Bayshore Drive,cafe,,,italian,,,,,,,,,+1 305 603 1003,,,,,,,,,,,,,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2001812832,The Cheesecake Factory,,Point,-80.2423982,25.7282862,node/2001812832,,,,,,,restaurant,The Cheesecake Factory,Q1045842,american,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cheesecake Factory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2001812846,Monty's,,Point,-80.2324358,25.7321159,node/2001812846,,Miami,2550,33133,,South Bayshore Drive,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2156901399,Little Itoshin,,Point,153.4336631,-28.0737721,node/2156901399,,,,,,,restaurant,,,japanese,,,6,,,,,Tu-Sa 17:00-20:00; Fr 12:00-15:00,+61 410 700 267,,https://www.litoshin.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2156901403,That's Amore,,Point,153.4339585,-28.0738209,node/2156901403,,,,,,,restaurant,,,italian,,,1,,,yes,,Tu-Sa 16:30-21:00; Su-Mo off,+61 434 378 150,yes,https://thatsamoregoldcoast.com/,,,,,,,,,,,yes,,,,,,,,,,,,,,,,BYO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2156901405,Magic Wok Chinese Restaurant,,Point,153.4337094,-28.0738628,node/2156901405,,,,,,,restaurant,,,chinese,,,5,https://www.facebook.com/profile.php?id=100065273629487,,,,Mo off; Tu 16:30-21:00; We-Sa 11:30-14:30; We-Su 16:30-21:00,+61 7 5535 8619,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2308861708,Tour Boat Boarding,attraction,Point,-80.1861767,25.7782099,node/2308861708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2309943887,Nido Caffe,,Point,-80.1841066,25.8423543,node/2309943887,,miami,7895,33138,FL,Biscayne Boulevard,restaurant,,,,,,,,,,,,-8286,,https://nidocaffe.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2311940212,Starbucks,,Point,-80.1840387,25.8386101,node/2311940212,,Miami,6815,33138,,Biscayne Boulevard,cafe,Starbucks,Q37158,coffee_shop,Starbucks Coffee,,,,,,,,,yes,,,,,,,,,2013,wlan,,,,,,,,,yes,,,,,survey,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2475821298,Ludo's,,Point,-80.2428835,25.727294,node/2475821298,,,,,,,restaurant,,,,,,,,,,,,,,http://www.ludosristorante.com,,,,,,,,,,,,,,,,,,,,,,,http://www.openstreetmap.org/?note=41543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2475853949,Lokal Burgers and Beer,,Point,-80.2450623,25.7277588,node/2475853949,,Coconut Grove,3190,33133,,Commodore Plaza,restaurant,,,burger,,,,,,,,,,,https://www.lokalmiami.com/,,,,,,,,,,,,,,,,,,,,,,,http://www.openstreetmap.org/?note=41470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2475858794,Focaccia Bistro,,Point,-80.2437628,25.7282289,node/2475858794,,Coconut Grove,3111,33133,,Grand Avenue,restaurant,,,,,,,,,,,Mo-Sa 08:30-22:00,,,http://www.focacciabistro.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2514944685,Panorama Restaurant & Sky Lounge,,Point,-80.241296,25.7276463,node/2514944685,,,,,,,restaurant,,,,,,,,,,,,,,https://www.sonesta.com/CoconutGrove/index.cfm?fa=restaurant1.home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2623048423,Mary's Cafeteria,,Point,-80.238208,25.744414,node/2623048423,,Miami,2542,33133,FL,Southwest 27th Avenue,cafe,,,sandwich,,,,,maryscafemiami,,,,+1 305 443-6672,yes,,,,,,,,,,no,,yes,,,,,,,,,,,US,,,,,,"Great quick Cuban style sandwiches, croquetas, empanadas, fruit shakes, cuban coffee. Great pan con bistec!",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2697912480,Akashi Japanese Restaurant,,Point,-80.243396,25.727493,node/2697912480,,Miami,3444,33133,FL,Main Hwy,restaurant,,,japanese,,,,,,,,,-10787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2697912552,The District Miami,,Point,-80.1917201,25.8177356,node/2697912552,,Miami,190,33137,FL,NE 46th St,restaurant,,,,,,,,,,,,-5076,,http://thedistrictmiami.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2765736652,Mister Pita,,Point,4.5826529,51.9798683,node/2765736652,,Rotterdam,27,3059XX,,Corsicalaan,restaurant,,,greek,,,,,,,,,+31 10 314 1151,,https://misterpita.nl/,,,,,,,,,,,,,,,,,,,,,,,BAG;local knowledge,24-03-2014,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2773797419,Panther Coffee,,Point,-80.1992545,25.799897,node/2773797419,,Miami,2390,33127,FL,Northwest 2nd Avenue,cafe,,,coffee_shop,,,,,,,,Su 08:00-21:00; Mo-Sa 07:00-21:00,-4933,,https://www.panthercoffee.com/,,,,,,,,,wlan,,,,,,,,,,,,,,,,,,,,outside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2937860391,La Moon,,Point,-80.1951584,25.7664378,node/2937860391,,Miami,97,,FL,Southwest 8th Street,restaurant,,,latin;columbia,,,,,,,,,-7373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2941412390,Starbucks,,Point,-80.1850705,25.7769151,node/2941412390,,Miami,401,33132,FL,Biscayne Boulevard,cafe,Starbucks,Q37158,coffee_shop,Starbucks Coffee,,,,,,,,,yes,https://www.starbucks.com/store-locator/store/1040154/bayside-miami-401-biscayne-blvd-miami-fl-33132-us,Bayside Miami,1040154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2958226380,Sushi Train,,Point,153.4444633,-28.0743234,node/2958226380,,,,,,,restaurant,,,japanese,,,06-Jul,,,,0,Mo-Su 10:30-21:00,+61 7 5508 2208,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/3045461500,Sushi Siam,,Point,-80.1906508,25.7649069,node/3045461500,,,,,,,restaurant,,,,,,,,,,,,,,https://sushisiambrickell.menufy.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/3106608955,Starbucks,,Point,-80.1930941,25.7651905,node/3106608955,,Miami,901,33130,FL,South Miami Avenue,cafe,Starbucks,Q37158,coffee_shop,Starbucks Coffee,,106,,,,,,+1 305-372-7922,yes,https://www.starbucks.com/store-locator/store/1043106/brickell-city-centre-701-s-miami-ave-unit-b-350-miami-fl-331301963-us,10th St & South Miami Avenue,10067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/3106608956,P.F. Chang's,,Point,-80.1931002,25.7653459,node/3106608956,,,,,,,restaurant,P.F. Chang's,Q5360181,asian,P.F. Chang's China Bistro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/3148254192,Blue Collar,,Point,-80.1844076,25.8377136,node/3148254192,,Miami,6730,33138,FL,Biscayne Boulevard,restaurant,,,american,,,,,,,,,-1426,,https://www.bluecollarmiami.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/3151929129,East Side Pizza,,Point,-80.1819942,25.8482387,node/3151929129,,,,,,,restaurant,,,pizza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/3175197146,Wynwood Cafe,,Point,-80.2025916,25.801613,node/3175197146,,Miami,450,,FL,Northwest 27th Street,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/3200978083,Harry's Pizzeria,,Point,-80.1955536,25.8128608,node/3200978083,,Miami,3918,33127,FL,North Miami Avenue,restaurant,,,pizza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/3203965631,Mad Butcher,,Point,-80.1992366,25.7996042,node/3203965631,,Miami,2300,33127,FL,Northwest 2nd Avenue,restaurant,,,,,,,,,,,,-2367,,https://www.madbutcher.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/3219724629,Europa Car Wash & Cafe,,Point,-80.183645,25.8324686,node/3219724629,,Miami,6075,,FL,Biscayne Boulevard,cafe,,,,,,,,,,,,,,,,,,,,,,,wlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/3220586304,Mmmm,,Point,-80.198977,25.8011749,node/3220586304,,Miami,2519,,FL,Northwest 2nd Avenue,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/3231494361,Via Verdi,,Point,-80.184456,25.839054,node/3231494361,,,,,,,restaurant,,,italian,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
