type,properties/@id,properties/amenity,properties/ferry,properties/name,properties/network,properties/operator,properties/public_transport,properties/source,properties/tourism,geometry/type,geometry/coordinates/0,geometry/coordinates/1,id,properties/addr:city,properties/addr:housenumber,properties/addr:postcode,properties/addr:state,properties/addr:street,properties/brand,properties/brand:wikidata,properties/cuisine,properties/wheelchair,properties/check_date,properties/opening_hours,properties/outdoor_seating,properties/phone,properties/website,properties/wheelchair:description,properties/branch,properties/official_name,properties/takeaway,properties/addr:country,properties/contact:website,properties/entrance,properties/indoor_seating,properties/smoking,properties/addr:unit,properties/url,properties/ele,properties/gnis:feature_id,properties/wikidata,properties/wikipedia,properties/ref,properties/email,properties/fixme,properties/panoramax,properties/website:menu,properties/payment:cash,properties/payment:credit_cards,properties/payment:debit_cards,properties/name:ko,properties/diet:halal,properties/level,properties/payment:mastercard,properties/payment:visa,properties/internet_access,properties/internet_access:fee,properties/toilets,properties/check_date:opening_hours,properties/addr:street:name,properties/addr:street:prefix,properties/addr:street:type,properties/contact:facebook,properties/air_conditioning,properties/addr:floor,properties/contact:instagram,properties/diet:fish,properties/delivery,properties/bar,properties/rooms,properties/alt_name,properties/fax,properties/diet:vegan,properties/diet:vegetarian,properties/atm,properties/drive_through,properties/wifi,properties/note,properties/layer,properties/toilets:wheelchair,properties/contact:phone,properties/contact:foursquare,properties/kids_area,properties/payment:cards,properties/payment:qr_code,properties/reservation,properties/opening_hours:signed,properties/addr:housename,properties/coffee,properties/shop,properties/construction,properties/name:vi,properties/drive_in,properties/microbrewery,properties/organic,properties/short_name,properties/check_date:smoking,properties/internet_access:ssid,properties/panoramax:0,properties/service:electricity,properties/not:brand:wikidata,properties/phone:mnemonic,properties/diet:pescetarian,properties/self_service,properties/capacity,properties/contact:email,properties/payment:contactless,properties/diet:kosher,properties/diet:kosher:certification,properties/diet:kosher:dairy,properties/diet:kosher:meat,properties/diet:kosher:pareve,properties/craft,properties/disused:amenity,properties/diet:kosher:chalav_yisrael,properties/diet:kosher:yoshon,properties/description,properties/payment:coins,properties/contact:tiktok,properties/owner,properties/facebook,properties/payment:not_cash,properties/name:en,properties/name:ru,properties/name:uk,properties/breakfast,properties/lunch,properties/contact:yelp,properties/contact:tripadvisor,properties/diet:gluten_free,properties/diet:local,properties/lat,properties/lon,properties/payment:apple_pay,properties/name:de,properties/contact:twitter,properties/toilets:access,properties/payment:american_express,properties/payment:discover_card,properties/name:es,properties/amenity_1,properties/check_date:currency:XBT,properties/currency:XBT,properties/payment:lightning,properties/payment:lightning:operator,properties/payment:lightning_contactless,properties/payment:onchain,properties/drink:alcohol,properties/disused:office,properties/old_name,properties/contact:pinterest,properties/contact:youtube,properties/payment:diners_club,properties/opening_hours:covid19,properties/internet_access:password,properties/source:access:password,properties/brewery,properties/old_name:vi,properties/description:en,properties/reservation:website,properties/leisure,properties/loc_name,properties/brand:en,properties/brand:zh,properties/name:zh,properties/chicago:building_id,properties/changing_table,properties/highchair,properties/payment:mastercard_contactless,properties/indoor,properties/room,properties/alcohol,properties/status,properties/historic,properties/material,properties/memorial,properties/subject:wikidata,properties/subject:wikimedia_commons,properties/subject:wikipedia,properties/attraction,properties/species:wikidata,properties/species:wikipedia,properties/disused:cuisine,properties/strapline,properties/access,properties/drinking_water,properties/man_made,properties/pump,properties/yelp,properties/diet:healthy,properties/building:levels,properties/diet:nut_free,properties/diet:oil_free,properties/diet:soy_free,properties/brand:wikipedia,properties/diet:chicken,properties/diet:meat,properties/brand:ja,properties/name:ja,properties/diet:organic,properties/exhibit,properties/heritage,properties/heritage:operator,properties/heritage:website,properties/nrhp:criteria,properties/nrhp:inscription_date,properties/nrhp:nhl,properties/ref:nrhp,properties/start_date,properties/wikimedia_commons,properties/int_name,properties/sport,properties/office,properties/theme,properties/changing_table:fee,properties/changing_table:location,properties/dinner,properties/name:kr,properties/lgbtq,properties/polling_station,properties/toilets:fee,properties/toilets:supervised,properties/opening_hours:url,properties/instagram
Feature,node/347301872,cafe,,Starbucks,,,,,,Point,-87.6789343,41.9547023,node/347301872,Chicago,4015,60618,IL,North Lincoln Avenue,Starbucks,Q37158,coffee_shop,,,Mo-Fr 05:00-20:30; Sa 06:00-20:30; Su 06:00-19:30,,+1 773-348-5776,https://www.starbucks.com/store-locator/store/16263/lincoln-damen-irving-4015-n-lincoln-avenue-unit-c-1-chicago-il-60618300,,Lincoln/Damen/Irving,Starbucks Coffee,yes,,,,,,C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/347433848,cafe,,Starbucks,,,,,,Point,-87.6584501,41.9288055,node/347433848,Chicago,1157,60614,IL,West Wrightwood Avenue,Starbucks,Q37158,coffee_shop,,,,,+1 773-528-3149,https://www.starbucks.com/store-locator/store/15689/wrightwood-racine-pick-up-1157-w-wrightwood-chicago-il-606141355-us,,Wrightwood & Racine - Pick Up,Starbucks Coffee,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/357046400,restaurant,,Eleven City Diner,,,,,,Point,-87.6260919,41.8686597,node/357046400,Chicago,1112,60605,IL,South Wabash Avenue,,,,,29-06-2025,,,,,,,,,,,,,,,http://www.elevencitydiner.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/368064192,restaurant,,The Berghoff Restaurant,,,,USGS Geonames,,Point,-87.6284801,41.8793454,node/368064192,Chicago,17,60603,IL,West Adams Street,,,german,,20-10-2024,Mo-Fr 11:00-21:00; Sa 11:30-21:00,,+1 312-427-3170,https://www.theberghoff.com/,,,,,,,,,,,,182,1825882,Q7716549,en:The Berghoff (restaurant),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/371266619,cafe,,Peet's Coffee,,,,,,Point,-87.6481922,41.9371493,node/371266619,Chicago,3025,60657,IL,North Clark Street,Peet's Coffee,Q1094101,coffee_shop,,,,,-6690,https://www.peets.com/,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/394818567,cafe,,Corner Bakery,,,,,,Point,-87.6295395,41.8800215,node/394818567,,,,,,Corner Bakery,Q5171598,coffee_shop,,,Mo-Fr 6:30-17:30,,-10331,https://www.cornerbakerycafe.com/,,,,yes,,,,,,,http://www.cornerbakerycafe.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/416772583,cafe,,Starbucks,,,,,,Point,-87.6603561,41.9251064,node/416772583,Chicago,1245,60614,IL,West Fullerton Avenue,Starbucks,Q37158,coffee_shop,,,,,+1 773-327-9761,https://www.starbucks.com/store-locator/store/10061/fullerton-racine-lincoln-p-1245-w-fullerton-ave-chicago-il-606142102-us,,Fullerton & Racine - Lincoln Park,Starbucks Coffee,yes,,,,,,,,,,,,10061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/419481655,restaurant,,Wake n Bacon,,,,,,Point,-87.6403725,41.9403568,node/419481655,Chicago,420,60657,IL,West Belmont Avenue,,,brunch,,,08:00-16:00,no,+1 773 880 5100,https://eatwakenbacon.com/,,,,,,,,yes,,,,,,,,,info@eatwakenbacon.com,"Freeform tag `cuisine` used, to be doublechecked",6b81ae57-2ef9-4871-a8ea-a51c50029e18,https://eatwakenbacon.com/menu-page/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/424212348,,,City Suites Hotel,,,,,hotel,Point,-87.6528805,41.9397689,node/424212348,Chicago,933,60657,IL,West Belmont Avenue,,,,,25-01-2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/451938921,restaurant,,Tapia's Pizza,,,,,,Point,-87.6896363,42.0192038,node/451938921,Chicago,2349,60645,IL,West Howard Street,,,pizza,,,,,,http://www.tapiaspizza.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/463772252,restaurant,,Centre Street Kitchen,,,,,,Point,-87.6593672,41.9217489,node/463772252,Chicago,1224,60614,IL,West Webster Avenue,,,burger;ice_cream,,,,,,http://www.centrestreetchicago.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/463772253,restaurant,,Old Pueblo Cantina,,,,,,Point,-87.658493,41.9217713,node/463772253,Chicago,1200,60614,IL,West Webster Avenue,,,mexican,,,,,-5196,https://oldpueblochicago.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/463772258,restaurant,,Range,,,,,,Point,-87.6567394,41.9215281,node/463772258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/463772264,restaurant,,Corner Kitchen,,,,,,Point,-87.6647779,41.9217238,node/463772264,Chicago,2200,60614,IL,North Clybourn Avenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/463772287,restaurant,,Mo's,,,,,,Point,-87.6625902,41.9250697,node/463772287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/463772319,restaurant,,Royal Highness Zhu,,,,,,Point,-87.6592042,41.9251336,node/463772319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/477087276,restaurant,,Sushi Rotary,,,,,,Point,-87.6525244,41.9216551,node/477087276,Chicago,935,60614,IL,West Webster Avenue,,,american,,,Mo-Th 16:00-00:00; Fr 11:00-02:00; Sa 11:00-03:00; Su 11:00-00:00,,-9777,https://state-chicago.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/479652780,restaurant,,Au Cheval,,,,,,Point,-87.6476069,41.8846406,node/479652780,Chicago,800,60607,IL,West Randolph Street,,,diner;burger;american,,25-10-2024,10:00-23:15,,-5820,http://auchevalchicago.com/,,,,,,,,,,,,,,,,,,,,,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/495655712,restaurant,,Golden Apple,,,,,,Point,-87.6632892,41.9359674,node/495655712,Chicago,2971,60657,IL,North Lincoln Avenue,,,american,,,,,-2713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/503798695,restaurant,,Giordano's Pizzeria,,,,,,Point,-87.6556831,41.940004,node/503798695,Chicago,1040,60657,IL,West Belmont Avenue,Giordano's Pizzeria,Q5563393,pizza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,지오다노스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/533979379,restaurant,,Ghareeb Nawaz,,,,,,Point,-87.6815509,41.9980101,node/533979379,Chicago,2032,60659,IL,West Devon Avenue,,,indian;pakistani,,,08:00-02:00,,-6833,https://ghareebnawazonline.com/,,,,,,,,,,,,,,,,,,,,,,,,,only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
