type,properties/@id,properties/internet_access,properties/name,properties/old_name,properties/phone,properties/rooms,properties/tourism,properties/website,geometry/type,geometry/coordinates/0,geometry/coordinates/1,id,properties/amenity,properties/cuisine,properties/addr:housenumber,properties/addr:street,properties/check_date,properties/indoor_seating,properties/wheelchair,properties/addr:country,properties/addr:postcode,properties/addr:suburb,properties/air_conditioning,properties/brand,properties/brand:wikidata,properties/brand:wikipedia,properties/contact:phone,properties/contact:website,properties/opening_hours,properties/addr:city,properties/addr:unit,properties/payment:cash,properties/payment:credit_cards,properties/payment:debit_cards,properties/bar,properties/outdoor_seating,properties/smoking,properties/addr:housename,properties/addr:state,properties/internet_access:fee,properties/takeaway,properties/email,properties/addr:floor,properties/level,properties/toilets,properties/toilets:access,properties/name:en,properties/changing_table,properties/drive_through,properties/toilets:menstrual_products,properties/toilets:wheelchair,properties/historic,properties/operator,properties/contact:facebook,properties/breakfast,properties/delivery,properties/delivery:partner,properties/fixme,properties/ref,properties/contact:instagram,properties/contact:twitter,properties/fax,properties/stars,properties/website:menu,properties/highchair,properties/phone:AU,properties/brand:en,properties/brand:ja,properties/name:ja,properties/reservation,properties/wikidata,properties/wikipedia,properties/capacity,properties/brewery,properties/description,properties/diet:dairy_free,properties/diet:gluten_free,properties/diet:meat,properties/diet:vegetarian,properties/payment:mastercard,properties/payment:visa,properties/diet:vegan,properties/alt_name,properties/check_date:diet:vegan,properties/check_date:diet:vegetarian,properties/check_date:opening_hours,properties/check_date:smoking,properties/payment:american_express,properties/min_age,properties/drink:coffee,properties/food:salad,properties/food:bagel,properties/diet:noodle,properties/not:brand:wikidata,properties/opening_hours:signed,properties/self_service,properties/drink:bubble_tea,properties/currency:AUD,properties/second_hand,properties/stroller
Feature,node/796259752,,Bistro 54,,,,,,Point,-76.251553,44.9008302,node/796259752,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/796259781,,The Cafe Hideaway,,,,,,Point,-76.2517759,44.9010102,node/796259781,restaurant,american,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/796273685,,JJ's Kitchen,,,,,,Point,-76.2512353,44.9015123,node/796273685,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/796289424,,Mex & Co.,,,,,,Point,-76.2493548,44.9001433,node/796289424,restaurant,mexican,,,2025-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/796574642,,The Stone Cellar,,,,,,Point,-76.2488895,44.8996277,node/796574642,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/796576074,,Kothu Labs,,,,,,Point,-76.2506649,44.901338,node/796576074,restaurant,indian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/885887069,,Murray Mews,,+61 8 6119 7987,,,https://murraymews.com,Point,115.8556821,-31.9521785,node/885887069,cafe,,329,Murray Street,2026-01-05,,,,,,,,,,,,,,4,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1093402703,,No 44 King Street,,,,,,Point,115.8551905,-31.9522303,node/1093402703,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1093402710,,Breve Cafe & Bar,,,,,,Point,115.8606286,-31.9533347,node/1093402710,cafe,coffee_shop,,,2025-08-22,,,,,,,,,,,,,,,,,,yes,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1361264135,wlan,The Coffee Club,,,,,https://www.coffeeclub.com.au/,Point,115.8578913,-31.9524094,node/1361264135,cafe,coffee_shop,,,,,,AU,,,,The Coffee Club,Q7726599,en:The Coffee Club,,,,,,,,,,,,One40 William,WA,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1501726031,,Criterion,,,,hotel,,Point,115.8617382,-31.9549138,node/1501726031,,,37,Pier Street,2025-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1626837688,,7 grams,,,,,,Point,115.8611544,-31.9412773,node/1626837688,cafe,,212,Lake Street,,,,AU,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1653255523,,Drunk Elephant Bar & Bistro,,+61 8 9225 6388,,,https://www.bar138.com.au/,Point,115.8612925,-31.9527891,node/1653255523,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,info@bar138.com.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1653255534,,Adina Apartment Hotel,,,,hotel,,Point,115.8613285,-31.9527191,node/1653255534,,,138,Barrack Street,,,,AU,6000,Perth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1717885080,,Barista 235,,,,,,Point,115.8508856,-31.9538617,node/1717885080,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1717885085,,Caffissimo,,,,,,Point,115.8556009,-31.9556914,node/1717885085,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1717885086,,Dôme,,,,,https://www.domecoffees.com/,Point,115.8655788,-31.9575802,node/1717885086,cafe,coffee_shop,,,,,,AU,,,,Dôme,Q5289995,en:Dôme (coffeehouse),,,,,,,,,,,,,WA,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1717885087,,Sentinel Bar & Grill,,,,,https://sentinelbar.com.au,Point,115.856242,-31.9548389,node/1717885087,restaurant,,111,St Georges Terrace,2026-01-22,,,,6000,Perth,yes,,,,,,Mo-Fr 11:30-21:30; Sa 17:30-22:00,,,,,,yes,yes,,,,,,,G,0,yes,customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1717885088,,LouVe,,,,,,Point,115.8531118,-31.9548767,node/1717885088,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1717885095,,Metro Bar & Grill,,,,,,Point,115.852393,-31.9555503,node/1717885095,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1717885099,,Dôme,,,,,,Point,115.8541633,-31.9545444,node/1717885099,cafe,coffee_shop,,,2023-08-28,,,,,,,Dôme,Q5289995,,,,,,,,,,,,,,,,yes,,,,,,Dôme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1717885104,,Nippon Izakaya Bar + Kitchen,,,,,https://www.nipponbarandkitchen.com.au/,Point,115.8513684,-31.9518954,node/1717885104,restaurant,japanese,250,St Georges Terrace,,,,,6000,Perth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1717885111,no,Tartine Cafe,,,,,,Point,115.8581383,-31.954954,node/1717885111,cafe,,72,Trinity Arcade,2026-01-30,,yes,,,,yes,,,,,,,,,,,,,no,no,,,,,,G,0,no,,,no,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1717885122,,Miss Maud Swedish Hotel,,+61 8 9325 3900,,hotel,https://www.missmaudhotel.com.au/,Point,115.8622957,-31.9542759,node/1717885122,,,97,Murray Street,,,,AU,6000,Perth,,,Q6877044,en:Miss Maud,,,,,,,,,,,,,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1717885128,,Caffissimo,,,,,,Point,115.855837,-31.9550769,node/1717885128,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1717888897,,Dragon Palace,,,,,,Point,115.8519531,-31.9525963,node/1717888897,restaurant,chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1717888898,,Tony Roma's,,,,,,Point,115.851937,-31.9522003,node/1717888898,restaurant,barbecue,,,,,,,,,,Tony Roma's,Q2213883,,,,Mo-Su 11:00-21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1717889519,,Lowdown Espresso,,,,,,Point,115.853352,-31.9529388,node/1717889519,cafe,coffee_shop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1767577845,,The Heritage,,,,,,Point,115.8552028,-31.9545798,node/1767577845,restaurant,,131,St Georges Terrace,,,,,6000,Perth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1767577852,,Trustee,,,,,,Point,115.8550698,-31.9544939,node/1767577852,restaurant,,133,St Georges Terrace,,,,,6000,Perth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1818461155,,Basilica,,,,,,Point,115.8543726,-31.9545878,node/1818461155,cafe,coffee_shop,,,2023-08-28,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1818464712,,Flour Drum,,,,,,Point,115.8526962,-31.9550156,node/1818464712,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1919595995,,Ut Si Café,,,,,,Point,147.17405,-41.5767025,node/1919595995,cafe,coffee_shop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1952464895,,Print Hall,,,,,,Point,115.8553136,-31.9549118,node/1952464895,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1972157551,,Small Print,,,,,,Point,115.8553065,-31.9548505,node/1972157551,cafe,coffee_shop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2086327010,,Twisted Fork Cafe and Bistro,,,,,,Point,-76.2509928,44.9010131,node/2086327010,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2509777457,,The Hot Wok,,+1-613-264-9994,,,https://www.thehotwok.ca/,Point,-76.2545621,44.9024251,node/2509777457,restaurant,asian,41,Wilson Street West,,,,,,,,,,,,,,Perth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2511900621,,Rocky River Cafe & Restaurant,,,,,,Point,-76.2523829,44.9001401,node/2511900621,cafe,,,,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2762708978,,Gather,,,,,,Point,-76.2501787,44.9003127,node/2762708978,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2769088971,,Mounts Bay Waters Apartment,,,,hotel,,Point,115.8483025,-31.9549268,node/2769088971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/3008815395,,Whistle Stop Café,,,,,,Point,115.8768436,-31.9433051,node/3008815395,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/3018276477,,542,,,,attraction,,Point,115.8774631,-31.9420684,node/3018276477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,locomotive,"Australian Railway Historical Society, W.A. Division (Inc)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/3500698289,no,Mo Expresso,,,,,,Point,115.8583571,-31.9543955,node/3500698289,cafe,coffee_shop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/3514667574,,Pancakes at Carillon,,,,,,Point,115.8586294,-31.9538563,node/3514667574,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/3617522857,no,Max + Sons,,,,,,Point,115.8582949,-31.9518738,node/3617522857,cafe,coffee_shop,140,William Street,2023-03-08,,,,,,,,,,,,Mo-Fr 06:30-16:30,,,,,,,,no,,,,yes,,,,,,,,,,,,,https://facebook.com/Max-Sons-903637699669768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/3823720857,,Henry Saw Cafe,,,,,https://www.museumofperth.com.au/,Point,115.8606026,-31.9530794,node/3823720857,cafe,,,,,,limited,,,,,,,,,,Mo-Fr 07:00-15:00; Sa 08:00-14:00,,,,,,,,,,,,,,,,,,,,,,,,Perth History Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4080877186,,London Cafe,,,,,,Point,115.8576781,-31.9597395,node/4080877186,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4119084893,,Riverside Cafe,,,,,,Point,115.8582826,-31.959896,node/4119084893,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4192833289,,Noodle Forum,,+61 8 6114 8443,,,https://www.noodleforum.com.au/,Point,115.8536402,-31.9515092,node/4192833289,restaurant,,9,Shafto Lane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4212361276,,Phi Yen,,+61 8 9227 1032,,,http://phiyen.com.au/,Point,115.860714,-31.9419554,node/4212361276,restaurant,vietnamese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4223952443,,Trà Vinh,,,,,,Point,115.8628601,-31.9428984,node/4223952443,restaurant,vietnamese,149,Brisbane Street,,,,AU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4252916831,yes,Alex Hotel,,+61 8 6430 4000,74,hotel,https://alexhotel.com.au,Point,115.8596517,-31.9490968,node/4252916831,,,,,2026-01-30,,yes,,,,,,,,,,,,,,,,,,no,,,,,hello@alexhotel.com.au,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4252916832,,Bivouac,,+61 8 9227 0883,,,https://bivouac.com.au/,Point,115.8593342,-31.9493161,node/4252916832,restaurant,,,,,,,,,,,,,,,,Tu-Sa 12:00+,,,,,,,yes,no,,,,,,,,,,,,,,,,mediterranean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4252916834,no,Govindas,,+61 8 9227 1684,,,,Point,115.8592775,-31.9493942,node/4252916834,restaurant,indian,194,William Street,,,,,,,,,,,,,Mo-Sa 11:30-19:30,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4252916836,,Sauma,,+61 8 9227 8682,,,https://www.sauma.com.au/,Point,115.8593869,-31.9492286,node/4252916836,restaurant,indian,200,William Street,,,,,,,,,,,,,Tu-We 17:00-22:30; Th-Su 11:30-22:30,,,,,,,,,,,,,eat@sauma.com.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4252916837,,Shadow Wine Bar,,+61 8 6430 4010,,,https://www.shadowwinebar.com.au/,Point,115.8596024,-31.9488638,node/4252916837,restaurant,,214,William Street,,,,,,,,,,,,,Mo-Fr 12:00+; Sa-Su 10:00+,,,,,,,,,,,,,hello@shadowwinebar.com.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4337423824,,Yod's Thai Cafe,,,,,,Point,115.8576137,-31.9381491,node/4337423824,cafe,thai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4348225110,,Ribs & Burgers,,,,,,Point,115.8582016,-31.9517847,node/4348225110,restaurant,burger,,,2023-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4393666790,,Health Freak Cafe,,,,,,Point,115.8466397,-31.956381,node/4393666790,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health Freak Cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4428474792,,Emma's Cafe Delight,,,,,,Point,115.8627279,-31.9468308,node/4428474792,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emma's Cafe Delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4476109855,,Bam Bam Boo,,,,,,Point,115.85834,-31.9519612,node/4476109855,restaurant,chinese,140,William Street,2023-03-08,,,,6000,Perth,,,,,,,Mo-Th 11:00-20:00; Fr 11:00-21:00; Sa 11:00-20:30; Su 11:00-16:00,,25,,,,,,,,,,yes,,,,,,,,,,,,,,,yes,Deliveroo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4476119983,,Livingstone's Urban Jungle,,,,,,Point,115.8606527,-31.9501963,node/4476119983,cafe,local,Pod 2,Perth Cultural Centre,,,yes,,6000,Perth,,,,,,,Mo-Fr 06:30-16:00; Sa 09:00-16:00; Su 10:00-16:00,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4476334593,,The East Village,,,,,,Point,115.8580416,-31.952176,node/4476334593,restaurant,american,140,William Street,,,,,6000,Perth,,,,,,,Mo-Su 07:00-22:00,,,,,,,,no,,,,yes,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
