type,properties/@id,properties/name,properties/tourism,geometry/type,geometry/coordinates/0,geometry/coordinates/1,id,properties/amenity,properties/created_by,properties/addr:state,properties/ele,properties/gnis:feature_id,properties/brand,properties/brand:wikidata,properties/cuisine,properties/opening_hours,properties/takeaway,properties/addr:city,properties/addr:housenumber,properties/addr:province,properties/addr:street,properties/brand:wikipedia,properties/diet:vegan,properties/diet:vegetarian,properties/indoor_seating,properties/official_name,properties/outdoor_seating,properties/smoking,properties/wheelchair,properties/contact:facebook,properties/contact:instagram,properties/phone,properties/website,properties/website:menu,properties/check_date,properties/source,properties/diet:halal,properties/diet:kosher,properties/addr:postcode,properties/payment:credit_cards,properties/payment:debit_cards,properties/addr:unit,properties/check_date:opening_hours,properties/check_date:smoking,properties/internet_access,properties/internet_access:fee,properties/not:brand:wikidata,properties/email,properties/air_conditioning,properties/delivery,properties/wikidata,properties/alt_name,properties/operator,properties/internet_access:ssid,properties/reservation,properties/contact:yelp,properties/image,properties/changing_table,properties/drive_through,properties/description,properties/height,properties/historic,properties/wikipedia,properties/bar,properties/diet:gluten_free,properties/level,properties/branch,properties/website:en,properties/website:fr,properties/toilets:wheelchair,properties/display,properties/support,properties/visibility,properties/opening_hours:signed,properties/capacity,properties/toilets,properties/brand:en,properties/brand:zh,properties/name:en,properties/name:zh,properties/shop,properties/amenity:bar,properties/payment:cash,properties/stars,properties/addr:floor,properties/toilets:access,properties/internet_access:type,properties/url,properties/indoor,properties/payment:visa,properties/direction,properties/diet:non-vegetarian,properties/note,properties/opening_hours:2025-12-21-,properties/microbrewery,properties/payment:interac,properties/check_date:currency:XBT,properties/currency:XBT,properties/payment:coinos,properties/payment:lightning,properties/payment:onchain,properties/survey:date,properties/payment:mastercard,properties/alt_name:en,properties/alt_name:vi,properties/name:vi,properties/source:location,properties/old_name,properties/highchair,properties/designation,properties/drive_in,properties/payment:american_express,properties/payment:cards,properties/payment:coins,properties/payment:contactless,properties/payment:notes,properties/short_name,properties/start_date,properties/diet:organic,properties/natural,properties/addr:country,properties/entrance,properties/payment:lightning_contactless,properties/self_service,properties/check_date:diet:vegetarian,properties/payment:apple_pay,properties/fax,properties/diet:meat,properties/name:ko,properties/bakery,properties/fixme,properties/name:fi,properties/internet,properties/brewery,properties/ref,properties/int_name,properties/diet:dairy_free,properties/diet:paleo,properties/postal_code,properties/payment:alipay,properties/payment:jcb,properties/payment:wechat,properties/contact:website,properties/diet:healthy,properties/diet:local,properties/diet:lactose_free,properties/diet:milk_tea,properties/diet:natural_foods,properties/internet_access:password,properties/opening_hours:drive_through,properties/contact:phone,properties/name:zh-Hans,properties/phone:mnemonic,properties/check_date:internet_access,properties/delivery:partner,properties/diet:chicken,properties/diet:fish,properties/diet:seafood,properties/name:fr,properties/payment:discover_card,properties/payment:visa_debit,properties/cocktails,properties/name:ja,properties/leisure,properties/language:en,properties/language:vi,properties/haunted,properties/office,properties/name:yue,properties/theme,properties/happy_hours,properties/name:yue-Hant,properties/diet:pescetarian,properties/television,properties/name:zh-Hant,properties/contact:email,properties/takeaway:covid19,properties/faces,properties/opening_hours:covid19,properties/payment:app,properties/panoramax,properties/panoramax:0,properties/panoramax:1,properties/panoramax:2,properties/toilets:fee,properties/toilets:gender_segregated,properties/toilets:wheelchair:grab_rail:foldable:left,properties/toilets:wheelchair:grab_rail:left,properties/toilets:wheelchair:grab_rail:right,properties/website:orders,properties/name:de,properties/disused:cuisine,properties/craft,properties/rooms,properties/addr:suite,properties/description:en,properties/payment:google_pay,properties/payment:square_pay,properties/pizza:style,properties/karaoke,properties/diet:omnivore,properties/building,properties/note:address_buildingnumber,properties/toilets:menstrual_products,properties/check:date,properties/drink:bubble_tea,properties/was:name,properties/drink:beer,properties/drink:coffee,properties/drink:tea,properties/drink:wine,properties/drink:espresso,properties/takeaway:website,properties/level:ref,properties/contact:youtube,properties/phone:tollfree
Feature,node/582799001,Gene Coffee Bar,,Point,-123.1006366,49.263823,node/582799001,cafe,,,,,,,,"Mo-Fr 07:30-17:00; Sa,Su 08:30-17:00",,,2404,,Main Street,,,,,,,,,,,,,,04-06-2025,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/582799005,Sushi Kaido,,Point,-123.101204,49.2630345,node/582799005,restaurant,,,,,,,japanese,Mo-Su 11:00-21:00,,,189,,East Broadway,,,,yes,,no,,,,,-7107,https://sushikaido.ca/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/582800962,Thai Son,,Point,-123.0967703,49.2629465,node/582800962,restaurant,,,,,,,asian,Mo-Su 10:00-21:00,,Vancouver,373,,East Broadway,,,,,,,no,,,,-7914,http://www.thaison.ca,,,,,,V5T 1W6,,,2,07-04-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/582801326,Melo Patisserie,,Point,-123.1015666,49.2635924,node/582801326,cafe,,,,,,,,,,,154,,East 8th Avenue,,,,,,,,,,,,,,16-10-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/582801421,Ignite Pizzeria,,Point,-123.1007427,49.2621462,node/582801421,restaurant,,,,,,,,"Su-Th 11:00-22:00; Fr,Sa 11:00-23:00",,Vancouver,2588,,Main Street,,,,yes,,no,no,,,,,,,23-01-2026,walk,,,,,,,03-01-2025,23-01-2026,wlan,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/582801710,Lucia,,Point,-123.1009502,49.257094,node/582801710,restaurant,,,,,,,italian,,,Vancouver,3124,BC,Main Street,,,,,,,,,,,,https://www.luciaonmain.com/,,,,,,,,,,,,,,Q7545728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/582801711,Caffè Mira,,Point,-123.1009534,49.2568941,node/582801711,cafe,,,,,,,,,,Vancouver,3136,,Main Street,,,,,,,,,,,,,,25-10-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/582801777,Toshi,,Point,-123.1018952,49.256744,node/582801777,restaurant,,,,,,,sushi,,yes,,181,,East 16th Avenue,,,,,,no,,,,,,,,22-04-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/582801783,The General Public,,Point,-123.101561,49.2558187,node/582801783,restaurant,,,,,,,,"Mo-Th 16:30-23:00; Fr,Sa 12:00-18:00+; Su 12:00-23:00",,Vancouver,3289,BC,Main Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/582801920,Anh And Chi,,Point,-123.1008857,49.2550596,node/582801920,restaurant,,,,,,,vietnamese,,,Vancouver,3388,BC,Main Street,,,,,,,,,,,+1 604-878-8883,https://anhandchi.com/,,,,,,V5V 3M7,,,,,,,,,eat@anhandchi.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/582801947,Nikkyu Japanese Restaurant,,Point,-123.1010082,49.2555535,node/582801947,restaurant,,,,,,,japanese,Su-Sa 11:30-22:00,,Vancouver,3302,BC,Main Street,,,,,,yes,no,,,,-3696,https://www.nikkyusushi.com,,24-09-2024,,,,V5V 3M7,yes,yes,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/582802371,Hunnybee Bruncheonette,,Point,-123.0971613,49.2777356,node/582802371,restaurant,,,,,,,,Mo-Su 08:00-16:00,,Vancouver,789,BC,Gore Avenue,,,,yes,,yes,,,,,,https://www.hunnybeebrunch.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/635890634,Starbucks,,Point,-123.1681992,49.2579156,node/635890634,cafe,,,,,Starbucks,Q37158,coffee_shop,"Mo-Fr 06:00-20:00, Sa,Su 06:30-20:00",yes,,,,,en:Starbucks,,,,Starbucks Coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/638747935,Blenz Coffee,,Point,-123.1264928,49.2771596,node/638747935,cafe,,,,,Blenz Coffee,Q4926090,coffee_shop,24-Jul,yes,Vancouver,700,BC,Davie Street,,,yes,yes,,no,no,yes,,,,,,,,,,,,,,,,wlan,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/638748345,L' Hermitage,hotel,Point,-123.116967,49.2805221,node/638748345,,,,,,,,,,,Vancouver,788,BC,Richards Street,,,,,,,,,,,-5204,https://www.lhermitagevancouver.com/,,,,,,V6B 3A4,,,,,,wlan,no,,,,,Q111231433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/638750749,Sandman Hotel Vancouver City Centre,hotel,Point,-123.11296,49.2788858,node/638750749,,,,,,,,,,,Vancouver,180,,West Georgia Street,,,,,,,,,,,-3495,http://www.sandmanhotels.ca/hotels/vancouver-city-centre/,,,,,,V6B 4P4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/638750750,YWCA Hotel / Residence,hotel,Point,-123.1130745,49.2783539,node/638750750,,,,,,YWCA,,,,,Vancouver,733,,Beatty Street,,,,,,,,yes,,,-7328,https://www.ywcavan.org/hotel,,,,,,,,,,,,wlan,no,,hotel@ywcavan.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/638750751,Georgian Court Hotel,hotel,Point,-123.113659,49.2780805,node/638750751,,,,,,,,,,,Vancouver,773,BC,Beatty Street,,,,,,,,yes,,,-6840,https://georgiancourthotelvancouver.com/,,,,,,,,,,,,wlan,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/638751995,Hampton Inn & Suites by Hilton Vancouver-Downtown,hotel,Point,-123.113987,49.277907,node/638751995,,,,,,Hampton,Q5646230,,,,Vancouver,111,BC,Robson Street,en:Hampton by Hilton,,,,Hampton by Hilton,,,,,,-2213,https://www.hilton.com/en/hotels/yvrhshx-hampton-suites-vancouver-downtown/,,,,,,,,,,,,wlan,no,,,,,Q111231437,Hampton Inn,Hilton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/638752000,Starbucks,,Point,-123.117893,49.2799212,node/638752000,cafe,,,,,Starbucks,Q37158,coffee_shop,"Mo-Fr 05:30-19:00; Sa,Su 06:30-19:00",yes,Vancouver,498,BC,Robson Street,en:Starbucks,yes,yes,yes,Starbucks Coffee,yes,no,yes,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/638771016,Holiday Inn and Suites Downtown,hotel,Point,-123.1255478,49.2785193,node/638771016,,,,,,Holiday Inn,Q2717882,,,,Vancouver,1110,BC,Howe Street,en:Holiday Inn,,,,,,,yes,,,-3438,https://www.holidayinnvancouverdowntown.com/,,,,,,V6Z 1R2,,,,,,wlan,no,,,yes,,Q111231442,,,IHG ONE REWARDS Free WI-FI,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/638771020,Waves Coffee House,,Point,-123.122489,49.2807244,node/638771020,cafe,,,,,Waves Coffee House,Q114096538,coffee_shop,Mo-Fr 07:00-20:00; Sa-Su 08:00-20:00,yes,Vancouver,900,BC,Howe Street,,no,yes,yes,,yes,no,yes,,,+1 604 899 9283,https://wavescoffee.ca/location/howe/,,,,,,V6Z 2M4,yes,yes,100,,,wlan,,,,yes,,,,,,,http://www.yelp.com/biz/waves-coffee-house-vancouver-2,https://wavescoffee.ca/wp-content/uploads/2024/06/Howe-vancouver.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
