type,properties/@id,properties/created_by,properties/name,properties/tourism,geometry/type,geometry/coordinates/0,geometry/coordinates/1,id,properties/natural,properties/amenity,properties/cuisine,properties/phone,properties/website,properties/wheelchair,properties/historic,properties/ref:nz:heritage,properties/wikidata,properties/addr:city,properties/addr:country,properties/addr:housenumber,properties/addr:street,properties/addr:suburb,properties/name:mi,properties/diet:vegan,properties/internet_access,properties/opening_hours,properties/description,properties/ref:linz:address_id,properties/brand,properties/brand:wikidata,properties/name:zh,properties/shop,properties/source,properties/brand:wikipedia,properties/start_date,properties/outdoor_seating,properties/email,properties/addr:postcode,properties/level,properties/building:flats,properties/contact:facebook,properties/contact:instagram,properties/self_service,properties/website:menu,properties/man_made,properties/check_date,properties/wifi,properties/diet:halal,properties/branch,properties/bar,properties/reservation,properties/official_name,properties/takeaway,properties/check_date:internet_access,properties/old_name,properties/check_date:currency:XBT,properties/currency:XBT,properties/facebook,properties/payment:onchain,properties/note,properties/internet_access:fee,properties/smoking,properties/operator,properties/name:en,properties/addr:housename,properties/diet:kosher,properties/payment:credit_cards,properties/payment:debit_cards,properties/fixme,properties/check_date:opening_hours,properties/air_conditioning,properties/toilets,properties/stars,properties/alt_name,properties/name:mk,properties/opening_hours:signed,properties/name:ja,properties/mobile,properties/contact:website,properties/diet:gluten_free,properties/diet:vegetarian,properties/attraction,properties/craft,properties/addr:district,properties/contact:tripadvisor,properties/contact:yelp,properties/contact:email,properties/opening_hours:kitchen,properties/payment:cards,properties/payment:cash,properties/delivery,properties/source:location,properties/survey:date,properties/capacity,properties/brewery,properties/changing_table,properties/indoor_seating,properties/brand:en,properties/brand:zh,properties/addr:neighbourhood,properties/surveillance,properties/opening_hours:covid19,properties/diet:lactose_free,properties/internet_access:ssid,properties/opening_hours:rubbish,properties/payment:coins,properties/payment:mastercard,properties/payment:notes,properties/payment:visa,properties/payment:eftpos,properties/disused,properties/contact:phone,properties/contact:webchat,properties/highchair,properties/toilets:access,properties/addr:hamlet,properties/check_date:currency,properties/payment:lightning,properties/payment:lightning_contactless,properties/dog,properties/not:brand:wikidata,properties/name:de,properties/cafe,properties/contact:twitter,properties/name:ko,properties/toilets:wheelchair,properties/payment:nfc_mobile_payments,properties/addr:floor,properties/diet:mediterranean,properties/diet:seafood,properties/microbrewery,properties/payment:apple_pay,properties/payment:google_pay,properties/addr:unit,properties/is_in,properties/ref,properties/source:opening_hours,properties/name:zh-hant,properties/name:nl,properties/name:ru,properties/name:ar,properties/min_age,properties/rooms,properties/operator:type,properties/operator:wikidata,properties/int_name,properties/contact:pinterest,properties/check_date:diet:gluten_free,properties/check_date:diet:vegan,properties/check_date:diet:vegetarian,properties/changing_table:location,properties/nohousenumber,properties/diet:meat,properties/diet:non-vegetarian,properties/diet:pescetarian,properties/kids_area,properties/payment:qr_code,properties/access,properties/ruins,properties/brand:ja,properties/railway,properties/theme,properties/contact:zomato,properties/contact:foursquare,properties/payment:contactless,properties/payment:cryptocurrencies,properties/payment:electronic_purses,properties/payment:maestro,properties/payment:visa_debit,properties/payment:visa_electron,properties/barrier,properties/leisure,properties/sport,properties/disused:amenity,properties/disused:shop,properties/drive_through,properties/payment:account_cards,properties/payment:app,properties/contact:tiktok,properties/contact:youtube,properties/opening_hours:url,properties/happy_hours,properties/short_name
Feature,node/307934399,Potlatch 0.10e,Te Whau vineyard,attraction,Point,175.0361465,-36.8176656,node/307934399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/311588457,Potlatch 0.10f,Whakanewha Regional Park Entrance,attraction,Point,175.0690746,-36.8117166,node/311588457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/313785515,,The Corner Restaurant and Bar,,Point,174.8116818,-36.880311,node/313785515,,restaurant,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/316535792,,Cafe Della Piazza,,Point,174.7615559,-36.8463713,node/316535792,,cafe,,,,,,,,,,80A,Wyndham Street,Auckland Central,,,,,,2000125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/317655386,,Tribe,hotel,Point,174.7682825,-36.8461417,node/317655386,,,,,,,,,,,,,,,,,,,,,TRIBE,Q113694525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/317656141,,Alma,,Point,174.7691422,-36.8440965,node/317656141,,restaurant,,,,,,,,,,,,,,,,,,,,,周六集市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/317659698,,Bamboo House,,Point,174.7675618,-36.8455598,node/317659698,,restaurant,,,,yes,,,,,,,,,,,,Mo-Fr 11:00-21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/317678223,,Saigon Chill,,Point,174.7656167,-36.8505634,node/317678223,,restaurant,vietnamese,,,yes,,,,,,,Lorne Street,,,,,"Mo-Th 11:00-22:00; Fr,Sa 11:00-22:30; Su 11:00-22:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/326791843,Potlatch 0.10f,Callum's Bakery,,Point,174.9642735,-37.0539926,node/326791843,,cafe,,,,,,,,,,,,,,,,,,,,,,bakery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/422706213,,Wintergarden Pavillion,,Point,174.7739145,-36.8596197,node/422706213,,restaurant,,,https://www.wintergardenpavilion.co.nz/,,,,,,,,,,,,,,,,,,,,local_knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/458653179,,Pizza Hut,,Point,174.7802885,-36.8476362,node/458653179,,restaurant,pizza,,,,,,,,,,,,,,,,,,Pizza Hut,Q191615,,,,en:Pizza Hut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/463194585,,Columbus,,Point,174.8106523,-36.898509,node/463194585,,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/463195264,,India restaurant and Bar,,Point,174.8094587,-36.89778,node/463195264,,restaurant,indian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/463195299,,Little Elephants Cafe and Eatery,,Point,174.8091255,-36.8973352,node/463195299,,cafe,,0212708728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/467022876,,Indian Hut,,Point,174.8980793,-37.0231375,node/467022876,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/493885884,,Origins,,Point,174.6136427,-36.8194888,node/493885884,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/495006992,,The Grand Hotel,hotel,Point,174.4510693,-36.6725821,node/495006992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/495879154,,GPK,,Point,174.7734753,-36.7834958,node/495879154,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/495879159,,Sushi Ya,,Point,174.773538,-36.7852352,node/495879159,,restaurant,,,,,,,,,,,,,,,,Mo-Su 07:30-16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/495879168,,Boticelli,,Point,174.7726214,-36.7861427,node/495879168,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/572933263,,The Alderman,,Point,174.6347598,-36.8773967,node/572933263,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,2-Jul-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/582324006,,Benedict's,,Point,174.7601916,-36.8627568,node/582324006,,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/596783495,,Waitākere Tramline,attraction,Point,174.5494431,-36.8916931,node/596783495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/618540262,,Pearl Garden Restaurant,,Point,174.7772408,-36.8692638,node/618540262,,restaurant,chinese;yum_cha,+64 9 523 3696,https://www.pearlgarden.co.nz/,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/622248482,,Portofino,,Point,174.7628673,-36.8433187,node/622248482,,restaurant,italian,+64 9 356 7080,https://www.portofino.co.nz/viaduct-auckland/,yes,,,,,,,,,,,,"Mo-Su 11:30+ ""late""",,,,,,,,,,,bookingviaduct@portofino.co.nz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/622248483,,Frida Cocina Mexicana Tequila and Bar,,Point,174.7630309,-36.8433712,node/622248483,,restaurant,,,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/622644736,,Ginger Remuera,,Point,174.8115492,-36.8804009,node/622644736,,restaurant,thai,,,yes,,,,,,602,Remuera Road,,,,,,,,,,,,,,,,,1050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/638153921,,French Press,,Point,174.7578121,-36.8448249,node/638153921,,cafe,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/664332171,,Bavaria Bed & Breakfast Hotel,hotel,Point,174.7545265,-36.8764273,node/664332171,,,,,,no,,,Q111870433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/672399299,,Pizza Pizza,,Point,174.7643828,-36.8517899,node/672399299,,restaurant,,+64 9 309 7717,http://pizzapizza.co.nz,,,,,Auckland,,,Queen Street,,,,,Mo-Su 17:00-22:00,,,,,,,,,,,pizzapizza@xtra.co.nz,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/678354455,,Park Road Kitchen,,Point,174.6553783,-36.9401252,node/678354455,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/725873886,,Au Bon Coin,,Point,174.6874642,-36.7917767,node/725873886,,cafe,french;coffee_shop,+64 9 482 3024,,,,,,Auckland,,341,Rangatira Road,,,,,Tu-Fr 07:30-16:30; Sa-Su 08:00-16:00,,,,,,,,,,yes,,0626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/728315520,,The Flagship Marina Restaurant and Bar,,Point,174.6448985,-36.8111655,node/728315520,,restaurant,,,,,,,,Auckland,,15,Clearwater Cove,West Harbour,,,,,,3027677,,,,,,,,,,0618,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/731942706,,Blue,,Point,174.7457684,-36.8535329,node/731942706,,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/736038686,,Buoy,,Point,174.7433471,-36.8353777,node/736038686,,cafe,,+64 9 378 6667,https://buoycafe.co.nz/,,,,,,,141-151,Westhaven Drive,Westhaven,,,no,,,1575652,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
